,date,cur_value,EURUSDx_martin_cnt
0,2022-10-03 00:00:00,1000000.0,0
1,2022-10-03 00:15:00,1000000.0,0
2,2022-10-03 00:30:00,1000000.0,0
3,2022-10-03 00:45:00,1000000.0,0
4,2022-10-03 01:00:00,1000000.0,0
5,2022-10-03 01:15:00,1000000.0,0
6,2022-10-03 01:30:00,1000000.0,0
7,2022-10-03 01:45:00,1000000.0,0
8,2022-10-03 02:00:00,1000000.0,0
9,2022-10-03 02:15:00,1000000.0,0
10,2022-10-03 02:30:00,1000000.0,0
11,2022-10-03 02:45:00,1000000.0,0
12,2022-10-03 03:00:00,1000000.0,0
13,2022-10-03 03:15:00,1000000.0,0
14,2022-10-03 03:30:00,1000000.0,0
15,2022-10-03 03:45:00,1000000.0,0
16,2022-10-03 04:00:00,1000000.0,0
17,2022-10-03 04:15:00,1000000.0,0
18,2022-10-03 04:30:00,1000000.0,0
19,2022-10-03 04:45:00,1000000.0,0
20,2022-10-03 05:00:00,1000000.0,0
21,2022-10-03 05:15:00,1000000.0,0
22,2022-10-03 05:30:00,1000000.0,0
23,2022-10-03 05:45:00,1000000.0,0
24,2022-10-03 06:00:00,1000000.0,0
25,2022-10-03 06:15:00,1000000.0,0
26,2022-10-03 06:30:00,1000000.0,0
27,2022-10-03 06:45:00,1000000.0,0
28,2022-10-03 07:00:00,1000000.0,0
29,2022-10-03 07:15:00,1000000.0,0
30,2022-10-03 07:30:00,1000000.0,0
31,2022-10-03 07:45:00,1000000.0,0
32,2022-10-03 08:00:00,1000000.0,0
33,2022-10-03 08:15:00,1000000.0,0
34,2022-10-03 08:30:00,1000000.0,0
35,2022-10-03 08:45:00,1000000.0,0
36,2022-10-03 09:00:00,1000000.0,0
37,2022-10-03 09:15:00,1000000.0,0
38,2022-10-03 09:30:00,1000000.0,0
39,2022-10-03 09:45:00,1000000.0,0
40,2022-10-03 10:00:00,1000000.0,0
41,2022-10-03 10:15:00,1000000.0,0
42,2022-10-03 10:30:00,1000000.0,0
43,2022-10-03 10:45:00,1000000.0,0
44,2022-10-03 11:00:00,1000000.0,0
45,2022-10-03 11:15:00,1000000.0,0
46,2022-10-03 11:30:00,1000000.0,0
47,2022-10-03 11:45:00,1000000.0,0
48,2022-10-03 12:00:00,1000000.0,0
49,2022-10-03 12:15:00,1000000.0,0
50,2022-10-03 12:30:00,1000000.0,0
51,2022-10-03 12:45:00,1000000.0,0
52,2022-10-03 13:00:00,1000000.0,0
53,2022-10-03 13:15:00,1000000.0,0
